ticker,sector,industry
A,Healthcare,Diagnostics & Research
AAPL,Technology,Consumer Electronics
ABBV,Healthcare,Drug Manufacturers—General
ABT,Healthcare,Medical Devices
ACN,Technology,Information Technology Services
ADBE,Technology,Software—Application
ADI,Technology,Semiconductors
ADM,Consumer Defensive,Farm Products
ADP,Industrials,Staffing & Employment Services
ADSK,Technology,Software—Application
AEE,Utilities,Utilities—Regulated Electric
AEP,Utilities,Utilities—Regulated Electric
AES,Utilities,Utilities—Diversified
AFL,Financial Services,Insurance—Life
AIG,Financial Services,Insurance—Diversified
AIZ,Financial Services,Insurance—Diversified
AJG,Financial Services,Insurance Brokers
AKAM,Technology,Software—Infrastructure
ALB,Basic Materials,Specialty Chemicals
ALLE,Industrials,Security & Protection Services
ALL,Financial Services,Insurance—Property & Casualty
ALNY,Healthcare,Biotechnology
AMCR,Consumer Defensive,Packaging & Containers
AMD,Technology,Semiconductors
AME,Industrials,Specialty Industrial Machinery
AMGN,Healthcare,Drug Manufacturers—General
AMP,Financial Services,Asset Management
AMZN,Consumer Cyclical,Internet Retail
AON,Financial Services,Insurance Brokers
AOS,Industrials,Specialty Industrial Machinery
APA,Energy,Oil & Gas E&P
APD,Basic Materials,Specialty Chemicals
APH,Technology,Electronic Components
APO,Financial Services,Asset Management
AAON,Industrials,Building Products & Equipment
APP,Technology,Software—Application
APTV,Consumer Cyclical,Auto Parts
ARE,Real Estate,REIT—Office
ARES,Financial Services,Asset Management
AMAT,Technology,Semiconductor Equipment & Materials
AMTM,Real Estate,REIT—Specialty
AMT,Real Estate,REIT—Specialty
AWK,Utilities,Utilities—Regulated Water
AXP,Financial Services,Credit Services
AZO,Consumer Cyclical,Specialty Retail
BAC,Financial Services,Banks—Diversified
BALL,Consumer Defensive,Packaging & Containers
BAX,Healthcare,Medical Instruments & Supplies
BDX,Healthcare,Medical Instruments & Supplies
BEN,Financial Services,Asset Management
BIIB,Healthcare,Drug Manufacturers—General
BK,Financial Services,Banks—Diversified
BKR,Energy,Oil & Gas Equipment & Services
BKN,Financial Services,Asset Management
BLK,Financial Services,Asset Management
BLDR,Industrials,Building Products & Equipment
BMY,Healthcare,Drug Manufacturers—General
BKNG,Consumer Cyclical,Travel Services
BR,Technology,Information Technology Services
BRK.B,Financial Services,Insurance—Diversified
BRO,Financial Services,Insurance Brokers
BSX,Healthcare,Medical Devices
BX,Financial Services,Asset Management
BXP,Real Estate,REIT—Office
C,Financial Services,Banks—Diversified
CAG,Consumer Defensive,Packaged Foods
CAH,Healthcare,Medical Distribution
CARR,Industrials,Building Products & Equipment
CAT,Industrials,Farm & Heavy Construction Machinery
CB,Financial Services,Insurance—Property & Casualty
CBOE,Financial Services,Financial Data & Stock Exchanges
CBRE,Real Estate,Real Estate Services
CCHGY,Consumer Defensive,Beverages—Non-Alcoholic
CCL,Consumer Cyclical,Travel Services
CDNS,Technology,Software—Application
CDW,Technology,Computer Hardware
CEG,Utilities,Utilities—Regulated Electric
CF,Basic Materials,Agricultural Inputs
CFG,Financial Services,Banks—Regional
CHD,Consumer Defensive,Household & Personal Products
CHTR,Communication Services,Telecom Services
CI,Healthcare,Healthcare Plans
CIEN,Technology,Communication Equipment
CINF,Financial Services,Insurance—Property & Casualty
CL,Consumer Defensive,Household & Personal Products
CLX,Consumer Defensive,Household & Personal Products
CME,Financial Services,Financial Data & Stock Exchanges
CMG,Consumer Cyclical,Restaurants
CMI,Industrials,Farm & Heavy Construction Machinery
CMS,Utilities,Utilities—Regulated Electric
CNC,Healthcare,Healthcare Plans
CNP,Utilities,Utilities—Regulated Electric
COF,Financial Services,Credit Services
COIN,Financial Services,Financial Data & Stock Exchanges
COP,Energy,Oil & Gas E&P
COR,Healthcare,Medical Distribution
COST,Consumer Defensive,Discount Stores
CPAY,Financial Services,Specialty Finance
CPB,Consumer Defensive,Packaged Foods
CPT,Real Estate,REIT—Residential
CPRT,Industrials,Specialty Business Services
CRBG,Financial Services,Insurance—Life
CRH,Basic Materials,Building Materials
CRL,Healthcare,Diagnostics & Research
CRWD,Technology,Software—Infrastructure
CSX,Industrials,Railroads
CSGP,Real Estate,Real Estate Services
CTSH,Technology,Information Technology Services
CTVA,Basic Materials,Agricultural Inputs
CVS,Healthcare,Healthcare Plans
CVX,Energy,Oil & Gas Integrated
D,Utilities,Utilities—Diversified
DAL,Industrials,Airlines
DASH,Technology,Software—Application
DDOG,Technology,Software—Application
DD,Basic Materials,Specialty Chemicals
DE,Industrials,Farm & Heavy Construction Machinery
DECK,Consumer Cyclical,Footwear & Accessories
DELL,Technology,Computer Hardware
DHI,Consumer Cyclical,Residential Construction
DHR,Healthcare,Medical Instruments & Supplies
DLR,Real Estate,REIT—Specialty
DG,Consumer Defensive,Discount Stores
DLTR,Consumer Defensive,Discount Stores
DOC,Real Estate,REIT—Healthcare Facilities
DOV,Industrials,Specialty Industrial Machinery
DOW,Basic Materials,Chemicals
DPZ,Consumer Cyclical,Restaurants
DRI,Consumer Cyclical,Restaurants
